"pH","phosph","nitrates","oxygen","solids"
7.56,0.23,0.76,101.65,178.49
5.58,0.04,0.43,93.92,162.45
6.29,0.09,0.37,95.75,168.86
7.05,0.14,0.31,98.82,173.71
5.39,0.09,0.55,99.22,177.04
6.75,0.13,0.66,100.33,170.29
6.35,0.1,0.37,97.05,167.39
7.39,0.12,0.59,98.92,168.89
7.12,0.1,0.36,98.75,172.28
8.59,0.21,0.7,102.58,184.12
7.29,0.16,0.53,101.9,181.96
5.68,0.01,0.54,99.14,163.66
7.39,0.17,0.74,100.11,179.04
7.43,0.13,0.62,103.22,183.64
6.87,0.11,0.33,98.33,166.92
7.52,0.14,0.52,99.96,171.17
7.94,0.18,0.55,101.88,176.85
6.47,0.1,0.51,100.18,171.21
7.73,0.11,0.45,98.29,169.22
5.78,0.11,0.5,98.51,181.81
6.35,0.12,0.43,99.02,168.67
6.14,0.1,0.54,94.89,171.09
6.02,0.14,0.4,94.49,173.25
6.53,0.11,0.4,100.44,168
8.62,0.26,1.02,102.18,184.64
8.05,0.14,0.68,100.61,175.94
6.52,0.09,0.57,97.78,174.64
6.88,0.13,0.7,100.64,170.5
6.61,0.07,0.43,93.78,163.03
6.87,0.12,0.69,98.43,179.97
